variable,line_num,filename,call_trace,line
dt1_max,5004,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heatcond_spitzer,"dt1_max=max(dt1_max,maxval(abs(thdiff)*gamma)/(cdts))"
diffus_chi,5005,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heatcond_spitzer,diffus_chi=diffus_chi+gamma*Kgpara*exp(2.5*p%lnTT-p%lnrho)/p%cp*dxyz_2
diffus_chi,5226,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heatcond_kramers,diffus_chi=diffus_chi+(gamma*chix+chi_t)*dxyz_2
diffus_chi,5825,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heatcond_chit,if (chi_t0/=0..and.(lchit_total .or. lchit_mean))  diffus_chi=diffus_chi+chi_t0*chit_prof*dxyz_2
diffus_chi,5828,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heatcond_chit,if (chi_t1/=0..and.lchit_fluct)  diffus_chi=diffus_chi+chit_prof_fluct*dxyz_2
diffus_chi,5332,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heatcond_smagorinsky,diffus_chi=diffus_chi+(gamma*chix)*dxyz_2
dt1_max,7624,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> newton_cool,"dt1_max=max(dt1_max,maxval(abs(newton)*gamma)/(cdts))"
dt1_max,6749,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heat_cool_RTV,"dt1_max=max(dt1_max,tmp)"
diffus_chi,5045,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heatcond_tensor,diffus_chi=diffus_chi+ cosbgT*gamma*Kgpara*exp(-p%lnrho)/p%cp*dxyz_2
diffus_chi3,4630,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heatcond_hyper3_polar,if (lfirst.and.ldt)  diffus_chi3=diffus_chi3+chi_hyper3*pi4_1*dxmin_pencil**4
diffus_chi3,4669,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heatcond_hyper3_mesh,"diffus_chi3 = diffus_chi3 + chi_hyper3_mesh * sum(abs(dline_1),2)"
advec2_hypermesh,4674,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heatcond_hyper3_mesh,advec2_hypermesh=advec2_hypermesh+advec_hypermesh_ss**2
diffus_chi3,4596,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heatcond_hyper3_aniso,"if (lfirst.and.ldt) diffus_chi3=diffus_chi3+  (chi_hyper3_aniso(1)*dline_1(:,1)**6 +  chi_hyper3_aniso(2)*dline_1(:,2)**6 +  chi_hyper3_aniso(3)*dline_1(:,3)**6)"
rcool,6328,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heat_cool -> get_heat_cool_gravr,if (rcool==0.) rcool=r_ext
r_ext,6414,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heat_cool -> get_heat_cool_gravx_spherical,r_ext=x(l2)
r_int,6415,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heat_cool -> get_heat_cool_gravx_spherical,r_int=x(l1)
rcool,6444,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heat_cool -> get_heat_cool_gravx_spherical,if (rcool==0.0) rcool=r_ext
rcool,6451,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heat_cool -> get_heat_cool_gravx_spherical,if (rcool==0.0) rcool=r_ext
rcool2,6452,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heat_cool -> get_heat_cool_gravx_spherical,if (rcool2==0.0) rcool2=r_ext
rcool,6460,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heat_cool -> get_heat_cool_gravx_spherical,if (rcool==0.0) rcool=r_ext
rcool2,6461,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heat_cool -> get_heat_cool_gravx_spherical,if (rcool2==0.0) rcool2=r_ext
rcool,6470,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heat_cool -> get_heat_cool_gravx_spherical,if (rcool==0.0) rcool=r_ext
rcool,6482,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heat_cool -> get_heat_cool_gravx_spherical,if (rcool==0.0) rcool=r_ext
rcool,6492,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heat_cool -> get_heat_cool_gravx_spherical,if (rcool==0.0) rcool=r_ext
rcool,6507,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heat_cool -> get_heat_cool_gravx_spherical,if (rcool==0.0) rcool=r_ext
rcool,6516,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heat_cool -> get_heat_cool_gravx_spherical,if (rcool==0.0) rcool=r_ext
rcool,6528,./pencil-code/src/entropy.f90,rhs_cpu -> rhs_cpu -> calc_modules -> denergy_dt -> calc_heat_cool -> get_heat_cool_gravx_spherical,if (rcool==0.0) rcool=r_ext
